Partlist

Exported from hap.brd at 16-8-2016 12:26:38

EAGLE Version 7.1.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value                 Package            Library                       Position (mm)         Orientation

ANT201                         4P-U-FL            Seeed_Connector               (15.9 156.9)          R90
ANT202   A10393 (N.C.)         A10393             gknff                         (32 171)              R270
ANT301   2450AT18D0100         2450AT18D0100      gknff                         (9.4 9)               R270
B301     BALUN                 BALUN              gknff                         (9.3 20.5)            R0
C101     100nF                 C0402              gknff                         (44.4 39.4)           R0
C102     100nF                 C0402              gknff                         (14.1 50.9)           R225
C103     15pF                  C0402              gknff                         (21.8 56.5)           R315
C104     15pF                  C0402              gknff                         (18.1 52.5)           R135
C105     100nF                 C0402              gknff                         (22.9 37.4)           R45
C106     100nF                 C0402              gknff                         (29.1 42.9)           R225
C107     100nF                 C0402              gknff                         (25.5 50.7)           R225
C108     100nF                 C0402              gknff                         (26.3 49.9)           R225
C109     22uF                  0805               CH_passive                    (13.5 40.8)           R45
C110     1uF                   C0603              gknff                         (38.1 54.9)           R0
C111     100uF                 EIA3216            SparkFun-Capacitors           (40.2 61.6)           R180
C112     4.7uF                 C0603              gknff                         (35 41.3)             R270
C113     4.7uF                 C0603              gknff                         (41.7 41.3)           R270
C114     22uF                  0805               CH_passive                    (42.5 7.6)            R180
C115     100nF                 C0402              gknff                         (26.1 67.8)           R0
C116     330uF                 EIA7343            SparkFun-Capacitors           (40.25 28.75)         R90
C201     100nF                 C0402              gknff                         (50.4 132.2)          R180
C202     15pF                  C0402              gknff                         (16 147.4)            R90
C203     47pF                  C0402              gknff                         (50.4 133.2)          R180
C204     33pF 5% (N.C.)        C0603              gknff                         (20.25 160.25)        R270
C205     56pF                  C0402              gknff                         (14.9 147.4)          R90
C206     2.2pF (+-0.1pF)(N.C.) C0603              gknff                         (22.5 161)            R0
C207     47pF                  C0402              gknff                         (43 131.2)            R0
C208     10nF                  C0402              gknff                         (13.8 147.4)          R90
C209     47pF                  C0402              gknff                         (50.4 135.7)          R180
C210     100nF                 C0402              gknff                         (12.7 147.4)          R90
C211     330uF                 EIA7343            SparkFun-Capacitors           (14.6 137.95)         R90
C212     47pF                  C0402              gknff                         (43 134.8)            R0
C213     100nF                 C0402              gknff                         (30.4 134.5)          R90
